"npi","nb_article","annee"
"'resistance training', 'weight lifting'","2.0","2011.0"
"'endurance training', 'muscle stretching exercises', 'resistance training'","2.0","2011.0"
"'dietary carbohydrates', 'dietary supplement', 'endurance training'","2.0","2011.0"
"'cryotherapy', 'thermalism', 'physiotherapy', 'muscle stretching exercises'","1.0","2011.0"
"'muscle stretching exercises', 'endurance training', 'resistance training'","1.0","2011.0"
"'coffee', 'dietary carbohydrates', 'endurance training'","1.0","2011.0"
"'dietary carbohydrates', 'endurance training', 'resistance training', 'fasting'","1.0","2011.0"
"'coffee', 'weight lifting', 'resistance training'","1.0","2011.0"
"'dietary carbohydrates', 'fatty acids, omega-3', 'chia'","1.0","2011.0"
"'creatine', 'cryotherapy', 'cold-water immersion'","1.0","2011.0"
"'endurance training', 'resistance training', 'creatine'","1.0","2011.0"
"'branched-chain amino acids', 'dietary supplement', 'endurance training', 'muscle stretching exercises', 'amino acids'","1.0","2011.0"
"'coffee', 'ginseng', 'endurance training', 'phytotherapy'","1.0","2011.0"
"'physiotherapy', 'muscle stretching exercises'","1.0","2011.0"
"'dietary supplement', 'vitamin d'","1.0","2011.0"
"'manual therapy', 'drainage'","1.0","2011.0"
"'dietary supplement', 'endurance training', 'quercetin', 'flavonoids'","1.0","2011.0"
"'creatine', 'dietary supplement', 'resistance training'","1.0","2011.0"
"'vitamin c', 'high-intensity interval training'","1.0","2011.0"
"'electric stimulation therapy', 'endurance training'","1.0","2011.0"
"'sodium bicarbonate'","1.0","2011.0"
"'dietary supplement', 'ginseng', 'endurance training', 'phytotherapy'","1.0","2011.0"
"'dietary supplement', 'endurance training'","1.0","2011.0"
"'diet', 'food', 'leucine', 'resistance training', 'fatty acids, omega-3'","1.0","2011.0"
"'adrenal extract'","1.0","2011.0"
"'muscle stretching exercises', 'wrestling'","1.0","2011.0"
"'resistance training', 'resisted sled training'","1.0","2011.0"
"'creatine', 'cold-water immersion'","1.0","2011.0"
"'endurance training', 'resistance training', 'weight lifting'","1.0","2011.0"
"'thermalism', 'steam bath', 'cold-water immersion'","1.0","2011.0"
"'magnesium', 'endurance training'","1.0","2011.0"
"'muscle stretching exercises', 'fasting'","1.0","2011.0"
"'cryotherapy', 'physiotherapy'","1.0","2011.0"
"'muscle stretching exercises', 'creatine'","1.0","2011.0"
"'fasting', 'endurance training', 'muscle stretching exercises'","1.0","2011.0"
"'endurance training', 'muscle stretching exercises', 'high-intensity interval training'","1.0","2011.0"
"'dietary supplement', 'isoflavones', 'ginseng', 'endurance training', 'phytotherapy', 'soybean proteins', 'soy beans', 'taurine'","1.0","2011.0"
"'muscle stretching exercises', 'water exercise interventions'","1.0","2011.0"
"'mind-body therapies', 'muscle stretching exercises', 'tai chi'","1.0","2011.0"
"'dietary carbohydrates', 'endurance training'","1.0","2011.0"
"'cryotherapy', 'creatine'","1.0","2011.0"
"'diet', 'dietary carbohydrates', 'dietary fats', 'dietary supplement', 'cold-water immersion'","1.0","2011.0"
"'diet', 'magnesium', 'food', 'iron'","1.0","2011.0"
"'resistance training', 'endurance training'","1.0","2011.0"
"'milk'","1.0","2011.0"
"'endurance training', 'plyometric exercise'","1.0","2011.0"
"'creatine', 'coffee'","1.0","2011.0"
"'resistance training', 'creatine'","1.0","2011.0"
"'dietary supplement', 'resistance training', 'creatine', 'fruit', 'anthocyanins', 'flavonoids', 'cherry juice'","1.0","2011.0"
"'muscle stretching exercises', 'kinesio tapes'","1.0","2011.0"
"'rice'","1.0","2011.0"
"'creatine', 'dietary supplement', 'resistance training', 'whey proteins'","1.0","2011.0"
"'diabetic diet', 'muscle stretching exercises', 'endurance training', 'resistance training', 'diet', 'aerobic exercise', 'exercise interventions'","1.0","2011.0"
"'isoprostanes', 'chocolate', 'polyphenols'","1.0","2011.0"
"'health education', 'muscle stretching exercises', 'walking'","1.0","2011.0"
"'branched-chain amino acids', 'dietary supplement', 'walking', 'amino acids'","1.0","2011.0"
"'weight loss diet', 'resistance training'","1.0","2011.0"
"'acupuncture', 'cryotherapy', 'muscle stretching exercises'","1.0","2011.0"
"'dietary supplement', 'diet', 'vitamins', 'minerals', 'antioxidant supplementation'","1.0","2011.0"
"'endurance training', 'aerobic exercise'","1.0","2011.0"
"'psychotherapy', 'physiotherapy', 'socioenvironmental therapy'","1.0","2011.0"
"'diet', 'dietary carbohydrates', 'food'","1.0","2011.0"
"'muscle stretching exercises', 'weight lifting'","1.0","2011.0"
"'breathing exercises', 'diet', 'meditation'","1.0","2011.0"
"'acoustic stimulation'","1.0","2011.0"
"'dietary supplement', 'wrestling', 'resistance training', 'high-intensity interval training', 'beta-alanine'","1.0","2011.0"
"'plants'","1.0","2011.0"
"'beverages', 'dietary carbohydrates', 'endurance training'","1.0","2011.0"
"'creatine', 'dietary supplement', 'wheat', 'diet'","1.0","2011.0"
"'muscle stretching exercises', 'resistance training', 'walking'","1.0","2011.0"
"'mountaineering'","1.0","2011.0"
"'dietary supplement', 'phytotherapy', 'food', 'citrus aurantium'","1.0","2011.0"
"'dietary supplement', 'muscle stretching exercises', 'resistance training'","1.0","2011.0"
"'phytotherapy', 'creatine'","1.0","2011.0"
"'cryotherapy', 'phototherapy', 'creatine', 'cold-water immersion'","1.0","2011.0"
"'creatine', 'dietary supplement'","1.0","2011.0"
"'dietary carbohydrates', 'dietary supplement', 'endurance training', 'beverages'","1.0","2011.0"
"'beverages', 'dietary carbohydrates', 'health education', 'endurance training', 'dietary sodium'","1.0","2011.0"
"'diet', 'weight loss diet', 'resistance training'","1.0","2011.0"
"'walking', 'creatine'","1.0","2011.0"
"'beverages', 'dietary carbohydrates', 'dietary supplement'","1.0","2011.0"
"'dairy products', 'calcium'","1.0","2011.0"
"'aerobic exercise', 'sodium bicarbonate'","1.0","2011.0"
"'thermalism'","1.0","2011.0"
"'coffee', 'endurance training', 'phytotherapy'","1.0","2011.0"
"'dance therapy'","1.0","2011.0"
"'muscle stretching exercises', 'calcium'","1.0","2011.0"
"'muscle stretching exercises', 'plyometric exercise'","1.0","2011.0"
"'muscle stretching exercises', 'psychotherapy', 'walking', 'exercise interventions'","1.0","2011.0"
"'dietary supplement', 'endurance training', 'resistance training', 'betaine supplementation'","1.0","2011.0"
"'dietary supplement', 'endurance training', 'weight lifting', 'diet'","1.0","2011.0"
"'creatine', 'dietary supplement', 'arginine'","1.0","2011.0"
"'beverages', 'dietary carbohydrates'","1.0","2011.0"
"'body image'","1.0","2011.0"
"'arginine', 'dietary supplement', 'endurance training', 'muscle stretching exercises', 'resistance training', 'aerobic exercise'","1.0","2011.0"
"'physiotherapy'","1.0","2011.0"
"'muscle stretching exercises', 'physiotherapy'","1.0","2011.0"
"'transcranial magnetic stimulation'","1.0","2011.0"
"'dietary supplement', 'resistance training', 'amino acids', 'leucine'","1.0","2011.0"
"'endurance training', 'diet'","1.0","2011.0"
"'compression bandages', 'bandages'","1.0","2011.0"
"'muscle stretching exercises', 'therapeutic game', 'walking'","1.0","2011.0"
"'dietary supplement', 'beta-glucans', 'pleurotus ostreatus', 'mushrooms'","1.0","2011.0"
"'dietary supplement', 'endurance training', 'amino acids'","1.0","2011.0"
"'dietary carbohydrates', 'endurance training', 'diet'","1.0","2011.0"
"'endurance training', 'iron'","1.0","2011.0"
"'psychotherapy', 'socioenvironmental therapy'","1.0","2011.0"
"'dietary supplement'","1.0","2011.0"
"'fruit', 'endurance training', 'isoprostanes', 'anthocyanins', 'blueberry'","1.0","2011.0"
"'amino acids', 'carbohydrate-restricted diet', 'ketogenic diet', 'dietary supplement', 'diet'","1.0","2011.0"
"'feedback sensory'","1.0","2011.0"
"'coffee', 'creatine'","1.0","2011.0"
"'resistance training'","35.0","2020.0"
"'muscle stretching exercises'","33.0","2020.0"
"'health education'","24.0","2020.0"
"'endurance training'","20.0","2020.0"
"'walking'","19.0","2020.0"
"'creatine'","16.0","2020.0"
"'heart rate variability biofeedback'","15.0","2020.0"
"'coffee'","13.0","2020.0"
"'high-intensity interval training'","13.0","2020.0"
"'wrestling'","13.0","2020.0"
"'physiotherapy'","13.0","2020.0"
"'diet'","8.0","2020.0"
"'iron'","7.0","2020.0"
"'sodium bicarbonate'","6.0","2020.0"
"'aerobic exercise'","6.0","2020.0"
"'psychological interventions'","5.0","2020.0"
"'calcium'","5.0","2020.0"
"'resisted sled training'","4.0","2020.0"
"'kinesio tapes'","4.0","2020.0"
"'video-based education'","4.0","2020.0"
"'counseling'","4.0","2020.0"
"'vitamin d', 'vitamin d3'","4.0","2020.0"
"'mindfulness'","4.0","2020.0"
"'plyometric exercise'","4.0","2020.0"
"'food'","4.0","2020.0"
"'transcranial direct current stimulation'","4.0","2020.0"
"'smartphone'","3.0","2020.0"
"'transcranial magnetic stimulation'","3.0","2020.0"
"'cannabis'","3.0","2020.0"
"'body image'","3.0","2020.0"
"'endurance training', 'muscle stretching exercises'","3.0","2020.0"
"'shoulder exercises'","3.0","2020.0"
"'mobile applications'","3.0","2020.0"
"'vitamin d'","3.0","2020.0"
"'biofeedback psychology'","3.0","2020.0"
"'muscle stretching exercises', 'resistance training'","3.0","2020.0"
"'music therapy'","3.0","2020.0"
"'resistance training', 'resisted sled training'","3.0","2020.0"
"'exergaming'","2.0","2020.0"
"'dietary supplement'","2.0","2020.0"
"'acupuncture', 'electroacupuncture'","2.0","2020.0"
"'ice ingestion'","2.0","2020.0"
"'traditional chinese medicine'","2.0","2020.0"
"'vitamin d', 'calcium'","2.0","2020.0"
"'fasting'","2.0","2020.0"
"'diet', 'ketogenic diet'","2.0","2020.0"
"'dietary carbohydrates'","2.0","2020.0"
"'beverages'","2.0","2020.0"
"'hops'","2.0","2020.0"
"'amino acids'","2.0","2020.0"
"'manual therapy'","2.0","2020.0"
"'resistance training', 'heart rate variability biofeedback'","2.0","2020.0"
"'plants'","2.0","2020.0"
"'psychotherapy'","2.0","2020.0"
"'osteopathic manipulation'","2.0","2020.0"
"'stress management'","2.0","2020.0"
"'health education', 'physiotherapy'","2.0","2020.0"
"'facilitator to screening'","2.0","2020.0"
"'arginine'","2.0","2020.0"
"'probiotics', 'diet'","2.0","2020.0"
"'compression garments'","2.0","2020.0"
"'water exercise interventions'","2.0","2020.0"
"'endurance training', 'resistance training'","2.0","2020.0"
"'acupuncture'","2.0","2020.0"
"'e-cigarettes'","2.0","2020.0"
"'creatine', 'compression garments'","2.0","2020.0"
"'food', 'coffee'","1.0","2020.0"
"'astaxanthin', 'dietary supplement'","1.0","2020.0"
"'spirulina'","1.0","2020.0"
"'group intervention'","1.0","2020.0"
"'selenium', 'coenzyme q10', 'vitamins', 'dietary supplement'","1.0","2020.0"
"'coffee', 'dietary supplement'","1.0","2020.0"
"'manual therapy', 'physiotherapy'","1.0","2020.0"
"'pneumatic compression'","1.0","2020.0"
"'creatine', 'dietary supplement', 'resistance training'","1.0","2020.0"
"'beetroot juice'","1.0","2020.0"
"'resistance training', 'dietary carbohydrates'","1.0","2020.0"
"'massage', 'baths', 'chiropractic manipulation', 'osteopathic manipulation'","1.0","2020.0"
"'manual therapy', 'rice'","1.0","2020.0"
"'energy drinks'","1.0","2020.0"
"'endurance training', 'melatonin', 'vitamin a', 'vitamin c', 'vitamin e', 'selenium', 'coenzyme q10', 'astaxanthin', 'anthocyanins', 'curcuma', 'acetylcysteine'","1.0","2020.0"
"'compression stocking', 'compression garments'","1.0","2020.0"
"'beverages', 'milk'","1.0","2020.0"
"'coenzyme q10'","1.0","2020.0"
"'cryotherapy'","1.0","2020.0"
"'resistance training', 'vitamin d', 'creatine', 'protein supplementation', 'leucine', 'fatty acids, unsaturated'","1.0","2020.0"
"'creatine', 'cryotherapy'","1.0","2020.0"
"'polyphenols', 'blackcurrant', 'pine bark'","1.0","2020.0"
"'manual therapy', 'electric stimulation therapy'","1.0","2020.0"
"'diet', 'ketogenic diet', 'iron'","1.0","2020.0"
"'capsaicin'","1.0","2020.0"
"'dietary supplement', 'resistance training', 'antioxidant supplementation'","1.0","2020.0"
"'aerobic exercise', 'iron'","1.0","2020.0"
"'health education', 'resistance training'","1.0","2020.0"
"'massage'","1.0","2020.0"
"'creatine', 'pine bark', 'vitis vinifera'","1.0","2020.0"
"'transcranial magnetic stimulation', 'aerobic exercise'","1.0","2020.0"
"'anthocyanins', 'blackcurrant'","1.0","2020.0"
"'behavior therapy'","1.0","2020.0"
"'plyometric exercise', 'creatine', 'hops', 'diet'","1.0","2020.0"
"'massage', 'creatine'","1.0","2020.0"
"'calcium', 'iron'","1.0","2020.0"
"'ginger', 'artichoke'","1.0","2020.0"
"'resistance training', 'group intervention'","1.0","2020.0"
"'occupational therapy'","1.0","2020.0"
"'diet', 'fasting', 'beetroot juice'","1.0","2020.0"
"'arginine', 'dietary supplement'","1.0","2020.0"
"'ketogenic diet', 'resistance training', 'diet'","1.0","2020.0"
"'creatine', 'vegetarian diet', 'dietary supplement', 'muscle stretching exercises', 'meat products'","1.0","2020.0"
"'food', 'diet'","1.0","2020.0"
"'endurance training', 'phototherapy', 'photobiomodulation', 'low-level laser therapy'","1.0","2020.0"
"'arginine', 'dietary supplement', 'isoflavones', 'resistance training', 'green tea', 'tea', 'l-citrulline'","1.0","2020.0"
"'probiotics', 'melatonin'","1.0","2020.0"
"'curcuma'","1.0","2020.0"
"'muscle relaxation', 'muscle stretching exercises'","1.0","2020.0"
"'exergaming', 'mobile applications'","1.0","2020.0"
"'chewing gum', 'coffee'","1.0","2020.0"
"'diet', 'calcium', 'magnesium', 'minerals', 'beta-alanine'","1.0","2020.0"
"'dietary supplement', 'vitamin d'","1.0","2020.0"
"'hyperbaric oxygen therapy'","1.0","2020.0"
"'isoprostanes'","1.0","2020.0"
"'resistance training', 'amino acids', 'protein supplementation', 'leucine'","1.0","2020.0"
"'heart rate variability biofeedback', 'biofeedback psychology'","1.0","2020.0"
"'photobiomodulation'","1.0","2020.0"
"'vitamin d', 'ultraviolet b', 'vitamin d3'","1.0","2020.0"
"'dietary supplement', 'resistance training', 'whey proteins', 'amino acids', 'protein supplementation', 'leucine'","1.0","2020.0"
"'smartphone', 'mobile applications', 'health education'","1.0","2020.0"
"'resistance training', 'ginger', 'creatine', 'heart rate variability biofeedback', 'phytotherapy'","1.0","2020.0"
"'rice'","1.0","2020.0"
"'muscle stretching exercises', 'plyometric exercise'","1.0","2020.0"
"'fasting', 'exercise interventions'","1.0","2020.0"
"'compression garments', 'cold-water immersion'","1.0","2020.0"
"'physiotherapy', 'plyometric exercise', 'muscle stretching exercises'","1.0","2020.0"
"'exercise interventions'","1.0","2020.0"
"'diet', 'vitamin d', 'calcium', 'vitamins', 'food', 'dietary supplement', 'fatty acids, omega-3', 'fatty acids, omega-6', 'fatty acids, unsaturated'","1.0","2020.0"
"'acupuncture', 'electroacupuncture', 'osteopathic manipulation', 'yoga', 'meditation', 'riboflavin', 'chiropractic manipulation', 'fatty acids, omega-3', 'non pharmacological interventions'","1.0","2020.0"
"'high-intensity interval training', 'muscle stretching exercises'","1.0","2020.0"
"'beverages', 'milk', 'food', 'poultry'","1.0","2020.0"
"'endurance training', 'cryotherapy', 'high-intensity interval training', 'cold-water immersion'","1.0","2020.0"
"'spiritual therapies'","1.0","2020.0"
"'muscle relaxation', 'relaxation therapy'","1.0","2020.0"
"'food', 'sodium alginate'","1.0","2020.0"
"'plyometric exercise', 'walking'","1.0","2020.0"
"'calcium', 'creatine'","1.0","2020.0"
"'resistance training', 'probiotics'","1.0","2020.0"
"'high-intensity interval training', 'resistance training'","1.0","2020.0"
"'physiotherapy', 'electric stimulation therapy'","1.0","2020.0"
"'walking', 'cold-water immersion'","1.0","2020.0"
"'muscle stretching exercises', 'kinesio tapes'","1.0","2020.0"
"'oscillating positive expiratory pressure'","1.0","2020.0"
"'resistance training', 'creatine'","1.0","2020.0"
"'counseling', 'osteopathic manipulation', 'health education'","1.0","2020.0"
"'aerobic exercise', 'music therapy'","1.0","2020.0"
"'diet', 'fatty acids, omega-3', 'food'","1.0","2020.0"
"'manual therapy', 'wave therapy', 'shock wave therapy'","1.0","2020.0"
"'walking', 'biofeedback psychology'","1.0","2020.0"
"'health education', 'video-based education', 'music therapy'","1.0","2020.0"
"'dietary fiber', 'food', 'dietary proteins', 'mushrooms'","1.0","2020.0"
"'dietary carbohydrates', 'dietary supplement', 'food'","1.0","2020.0"
"'cryotherapy', 'thermalism', 'creatine', 'cold-water immersion'","1.0","2020.0"
"'chiropractic manipulation'","1.0","2020.0"
"'creatine', 'dietary supplement', 'endurance training'","1.0","2020.0"
"'breathing exercises'","1.0","2020.0"
"'electric stimulation therapy', 'phototherapy', 'photobiomodulation'","1.0","2020.0"
"'vitamins', 'minerals', 'iron'","1.0","2020.0"
"'creatine', 'taurine', 'beta-alanine'","1.0","2020.0"
"'cognitive behavioral therapy'","1.0","2020.0"
"'chinese herbal drugs', 'phytotherapy'","1.0","2020.0"
"'dietary carbohydrates', 'walking'","1.0","2020.0"
"'physiotherapy', 'muscle stretching exercises', 'cognitive behavioral therapy', 'psychotherapy'","1.0","2020.0"
"'sodium bicarbonate', 'high-intensity interval training'","1.0","2020.0"
"'coffee', 'resistance training'","1.0","2020.0"
"'diet', 'amino acids', 'leucine', 'fatty acids, omega-3'","1.0","2020.0"
"'diet', 'aerobic exercise', 'protein supplementation', 'leucine'","1.0","2020.0"
"'mountaineering', 'phytotherapy', 'anthocyanins', 'polyphenols', 'blackcurrant'","1.0","2020.0"
"'endurance training', 'creatine'","1.0","2020.0"
"'food', 'beetroot juice', 'dietary carbohydrates', 'beta-alanine', 'coffee'","1.0","2020.0"
"'rosa'","1.0","2020.0"
"'branched-chain amino acids', 'dietary supplement', 'amino acids'","1.0","2020.0"
"'diet', 'bladder wrack'","1.0","2020.0"
"'high-intensity interval training', 'aerobic exercise'","1.0","2020.0"
"'cold-water immersion'","1.0","2020.0"
"'endurance training', 'resistance training', 'iron'","1.0","2020.0"
"'pilates'","1.0","2020.0"
"'probiotics', 'creatine', 'diet'","1.0","2020.0"
"'coffee', 'fasting', 'dietary carbohydrates'","1.0","2020.0"
"'diet', 'smartphone'","1.0","2020.0"
"'pomegranate', 'polyphenols', 'curcuma'","1.0","2020.0"
"'manual therapy', 'walking'","1.0","2020.0"
"'dance therapy'","1.0","2020.0"
"'diet', 'plants', 'polyphenols', 'phytotherapy'","1.0","2020.0"
"'dietary carbohydrates', 'diet'","1.0","2020.0"
"'resistance training', 'walking', 'aerobic exercise'","1.0","2020.0"
"'withania'","1.0","2020.0"
"'high-intensity interval training', 'cold-water immersion'","1.0","2020.0"
"'resistance training', 'coffee'","1.0","2020.0"
"'probiotics', 'lactobacillus plantarum', 'iron'","1.0","2020.0"
"'dietary supplement', 'l-citrulline'","1.0","2020.0"
"'physiotherapy', 'resistance training'","1.0","2020.0"
"'food', 'dietary supplement'","1.0","2020.0"
"'diet', 'health education', 'dietary supplement'","1.0","2020.0"
"'food', 'flavonoids', 'phytotherapy'","1.0","2020.0"
"'diet', 'green tea', 'tea', 'catechin', 'betaine supplementation', 'sodium bicarbonate', 'nitrate supplementation', 'dietary supplement', 'coffee'","1.0","2020.0"
"'physiotherapy', 'health education'","1.0","2020.0"
"'mindfulness', 'health education', 'reminder systems'","1.0","2020.0"
"'resistance training', 'diet'","1.0","2020.0"
"'creatine', 'glutamine', 'dietary supplement'","1.0","2020.0"
"'aerobic exercise', 'exercise interventions'","1.0","2020.0"
"'polyphenols', 'diet'","1.0","2020.0"
"'probiotics'","1.0","2020.0"
"'resistance training', 'massage', 'physiotherapy', 'exercise interventions'","1.0","2020.0"
"'plyometric exercise', 'resistance training'","1.0","2020.0"
"'weight lifting'","1.0","2020.0"
"'diet', 'cold-water immersion'","1.0","2020.0"
"'fitness trackers'","1.0","2020.0"
"'play therapy'","1.0","2020.0"
"'beverages', 'dietary carbohydrates'","1.0","2020.0"
"'creatine', 'physiotherapy', 'low-level laser therapy'","1.0","2020.0"
"'dietary supplement', 'milk', 'bovine colostrum', 'lactoferrin'","1.0","2020.0"
"'eicosapentaenoic acid', 'docosahexaenoic acid', 'fatty acids, unsaturated'","1.0","2020.0"
"'creatine', 'dietary supplement'","1.0","2020.0"
"'music therapy', 'endurance training'","1.0","2020.0"
"'biofeedback psychology', 'cognitive behavioral therapy', 'health education'","1.0","2020.0"
"'diet', 'body image'","1.0","2020.0"
"'amino acids', 'endurance training', 'leucine'","1.0","2020.0"
"'cognitive rehabilitation'","1.0","2020.0"
"'resistance training', 'shoulder exercises'","1.0","2020.0"
"'social interactions'","1.0","2020.0"
"'tart cherry juice', 'cherry juice'","1.0","2020.0"
"'vestibular rehabilitation'","1.0","2020.0"
"'diet', 'body image', 'danse', 'protein supplementation'","1.0","2020.0"
"'dietary supplement', 'sodium bicarbonate'","1.0","2020.0"
"'creatine', 'polyphenols'","1.0","2020.0"
"'osteopathic manipulation', 'health education'","1.0","2020.0"
"'virtual reality'","1.0","2020.0"
"'high-intensity interval training', 'endurance training'","1.0","2020.0"
"'psychotherapy', 'group psychotherapy', 'psychological interventions'","1.0","2020.0"
"'creatine', 'resistance training'","1.0","2020.0"
"'diet', 'dietary supplement'","1.0","2020.0"
"'counseling', 'health education'","1.0","2020.0"
"'food', 'cannabis'","1.0","2020.0"
"'dietary supplement', 'resistance training', 'beetroot juice'","1.0","2020.0"
"'resistance training', 'transcranial direct current stimulation'","1.0","2020.0"
"'creatine', 'dietary supplement', 'endurance training', 'calcium'","1.0","2020.0"
"'melatonin', 'creatine'","1.0","2020.0"
"'energy drinks', 'taurine', 'coffee'","1.0","2020.0"
"'counseling', 'psychosocial intervention'","1.0","2020.0"
"'resistance training', 'weight lifting', 'dietary supplement'","1.0","2020.0"
"'branched-chain amino acids', 'dietary supplement', 'high-intensity interval training', 'creatine', 'amino acids'","1.0","2020.0"
"'creatine', 'docosahexaenoic acid', 'resistance training', 'fatty acids, omega-3'","1.0","2020.0"
"'adapted physical activity'","1.0","2020.0"
"'vitamin c', 'creatine'","1.0","2020.0"
"'bitter melon', 'dietary supplement'","1.0","2020.0"
"'diet', 'ketogenic diet', 'fasting'","1.0","2020.0"
"'beverages', 'food'","1.0","2020.0"
"'resistance training', 'vitamin d'","1.0","2020.0"
"'coffee', 'creatine'","1.0","2020.0"
"'muscle stretching exercises'","26.0","2012.0"
"'endurance training'","22.0","2012.0"
"'resistance training'","11.0","2012.0"
"'endurance training', 'resistance training'","7.0","2012.0"
"'muscle stretching exercises', 'resistance training'","5.0","2012.0"
"'electric stimulation therapy'","4.0","2012.0"
"'physiotherapy'","4.0","2012.0"
"'music therapy'","4.0","2012.0"
"'health education'","3.0","2012.0"
"'beverages'","3.0","2012.0"
"'dietary supplement', 'endurance training', 'beta-alanine'","3.0","2012.0"
"'walking'","3.0","2012.0"
"'weight lifting'","2.0","2012.0"
"'endurance training', 'heart rate variability biofeedback'","2.0","2012.0"
"'oscillating positive expiratory pressure'","2.0","2012.0"
"'body image', 'muscle stretching exercises'","2.0","2012.0"
"'fasting'","2.0","2012.0"
"'breathing exercises', 'endurance training'","2.0","2012.0"
"'muscle stretching exercises', 'exercise interventions'","2.0","2012.0"
"'plyometric exercise'","2.0","2012.0"
"'coffee', 'endurance training'","2.0","2012.0"
"'dietary carbohydrates'","2.0","2012.0"
"'feedback sensory'","2.0","2012.0"
"'beverages', 'endurance training'","1.0","2012.0"
"'plyometric exercise', 'muscle stretching exercises'","1.0","2012.0"
"'endurance training', 'muscle stretching exercises'","1.0","2012.0"
"'vitamin c', 'dietary supplement', 'diet', 'fruit', 'vegetables'","1.0","2012.0"
"'fruit and vegetable juices', 'endurance training', 'beetroot juice', 'nitrate supplementation'","1.0","2012.0"
"'neurofeedback', 'muscle stretching exercises', 'transcranial magnetic stimulation'","1.0","2012.0"
"'occupational therapy'","1.0","2012.0"
"'chiropractic manipulation', 'plyometric exercise', 'manual therapy', 'acupuncture'","1.0","2012.0"
"'smartphone', 'counseling', 'ehealth device', 'muscle stretching exercises'","1.0","2012.0"
"'phototherapy', 'creatine', 'low-level laser therapy'","1.0","2012.0"
"'food'","1.0","2012.0"
"'video-based education'","1.0","2012.0"
"'endurance training', 'muscle stretching exercises', 'aerobic exercise'","1.0","2012.0"
"'diet', 'sodium bicarbonate'","1.0","2012.0"
"'diet', 'counseling'","1.0","2012.0"
"'electric stimulation therapy', 'resistance training'","1.0","2012.0"
"'coffee', 'resistance training'","1.0","2012.0"
"'energy drinks', 'food', 'taurine', 'fruit', 'coffee'","1.0","2012.0"
"'endurance training', 'pulmonary rehabilitation'","1.0","2012.0"
"'dietary carbohydrates', 'endurance training'","1.0","2012.0"
"'amino acids', 'diet', 'resistance training', 'branched-chain amino acids', 'leucine'","1.0","2012.0"
"'muscle stretching exercises', 'walking', 'aerobic exercise'","1.0","2012.0"
"'plyometric exercise', 'muscle stretching exercises', 'plants', 'resistance training'","1.0","2012.0"
"'beverages', 'food', 'endurance training'","1.0","2012.0"
"'phototherapy', 'endurance training', 'low-level laser therapy'","1.0","2012.0"
"'thermalism', 'massage', 'cold-water immersion'","1.0","2012.0"
"'plyometric exercise', 'resistance training'","1.0","2012.0"
"'resistance training', 'weight lifting'","1.0","2012.0"
"'muscle stretching exercises', 'walking'","1.0","2012.0"
"'oscillating positive expiratory pressure', 'endurance training', 'high-intensity interval training'","1.0","2012.0"
"'beverages', 'endurance training', 'muscle stretching exercises'","1.0","2012.0"
"'amino acids', 'dietary carbohydrates', 'dietary supplement', 'resistance training', 'protein supplementation'","1.0","2012.0"
"'plyometric exercise', 'resisted sled training'","1.0","2012.0"
"'beverages', 'coffee', 'diet', 'taurine', 'energy drinks'","1.0","2012.0"
"'diet', 'dietary carbohydrates', 'dietary fats', 'food', 'endurance training'","1.0","2012.0"
"'physiotherapy', 'muscle stretching exercises'","1.0","2012.0"
"'resistance training', 'endurance training'","1.0","2012.0"
"'resistance training', 'high-intensity interval training'","1.0","2012.0"
"'tea'","1.0","2012.0"
"'creatine', 'fasting'","1.0","2012.0"
"'beverages', 'health education'","1.0","2012.0"
"'heart rate variability biofeedback'","1.0","2012.0"
"'vitamin d', 'calcium'","1.0","2012.0"
"'muscle stretching exercises', 'resistance training', 'video-based education'","1.0","2012.0"
"'electric stimulation therapy', 'muscle stretching exercises'","1.0","2012.0"
"'endurance training', 'muscle stretching exercises', 'high-intensity interval training'","1.0","2012.0"
"'dietary supplement', 'endurance training', 'sodium bicarbonate', 'beta-alanine'","1.0","2012.0"
"'diet', 'fasting', 'health education', 'amino acids'","1.0","2012.0"
"'dietary carbohydrates', 'isoprostanes', 'banana'","1.0","2012.0"
"'creatine'","1.0","2012.0"
"'arginine', 'dietary carbohydrates', 'glutamine', 'endurance training', 'beverages'","1.0","2012.0"
"'exercise movement techniques', 'resistance training'","1.0","2012.0"
"'endurance training', 'phytotherapy', 'ginseng', 'coffee'","1.0","2012.0"
"'physiotherapy', 'massage', 'cryotherapy'","1.0","2012.0"
"'dietary supplement', 'amino acids', 'branched-chain amino acids', 'leucine'","1.0","2012.0"
"'breathing exercises', 'resistance training'","1.0","2012.0"
"'arginine', 'dietary supplement', 'creatine', 'aerobic exercise', 'l-citrulline'","1.0","2012.0"
"'endurance training', 'resistance training', 'aerobic exercise'","1.0","2012.0"
"'muscle stretching exercises', 'aerobic exercise'","1.0","2012.0"
"'endurance training', 'iron'","1.0","2012.0"
"'dietary carbohydrates', 'endurance training', 'diet'","1.0","2012.0"
"'coffee', 'energy drinks', 'endurance training', 'resistance training', 'weight lifting'","1.0","2012.0"
"'camellia sinensis', 'dietary supplement', 'flavonoids', 'phytotherapy', 'green tea', 'creatine', 'tea', 'polyphenols'","1.0","2012.0"
"'muscle stretching exercises', 'endurance training', 'exercise interventions'","1.0","2012.0"
"'dietary supplement', 'probiotics'","1.0","2012.0"
