"out","nb_article","annee"
"'sport performance|health|rehabilitation', 'health|injuries +  illness prevention|physiologic disturbances|adverse event|safety'","1.0","1999.0"
"'technical performance|skill performance|motor skill performance|gross motor skill performance|swimming performance'","1.0","1999.0"
"'sport performance|physiological performance|muscle oxygenation'","1.0","1999.0"
"'sport performance|physical performance|strength performance|muscle strength', 'sport performance|physical performance|exercise performance', 'sport performance|physiological performance|specific environnement adaptations|exercise performance in hot and humid environments|plasma volume', 'sport performance|health|injuries +  illness prevention|physiologic disturbances|dehydration'","1.0","1999.0"
"'sport performance|physical performance|exercise performance'","1.0","1999.0"
"'sport performance|physical performance|strength performance|muscle strength'","1.0","1999.0"
"'sport performance|mental performance|psychomotor performance'","1.0","1999.0"
"'sport performance|physiological performance|heart rate', 'sport performance|physiological performance|specific environnement adaptations|exercise performance in hot and humid environments|plasma volume'","1.0","1999.0"
"'sport performance|physiological performance|muscle metabolism|muscle glycogen'","1.0","1999.0"
"'sport performance|physiological performance|specific environnement adaptations|exercise performance in hot and humid environments|physiological strain'","1.0","1999.0"
"'sport performance|physiological performance|specific environnement adaptations|exercise performance in hot and humid environments|carbohydrate availability'","1.0","1999.0"
"'sport performance|physiological performance|cardiorespiratory performance|cardiorespiratory fitness', 'sport performance|physiological performance|body composition|muscle mass'","1.0","1999.0"
"'sport performance|technical performance|skill performance'","1.0","1999.0"
"'technical performance|skill performance|motor skill performance|gross motor skill performance|running performance'","1.0","1999.0"
"'skill performance|motor skill performance|gross motor skill performance|jump performance|vertical jump performance'","1.0","1999.0"
"'sport performance|physical performance|endurance performance|muscular endurance'","1.0","1999.0"
"'sport performance|physiological performance|specific environnement adaptations|exercise performance in hot and humid environments|rehydration', 'sport performance|health|organ system/region illnesses|cardiovascular illnesses|collapse'","1.0","1999.0"
"'sport performance|health|organ system/region illnesses|cardiovascular illnesses|shortness of breath', 'sport performance|health|organ system/region illnesses|respiratory illnesses|cough', 'sport performance|health|organ system/region illnesses|respiratory illnesses|wheezing'","1.0","1999.0"
"'sport performance|health|organ system/region illnesses|cardiovascular illnesses|chest pain', 'sport performance|health|organ system/region illnesses|gastrointestinal illnesses|heartburn'","1.0","1999.0"
"'sport performance|health|injuries|neurological injuries|concussion'","1.0","1999.0"
"'sport performance|physiological performance|heart rate', 'sport performance|physiological performance|blood flow', 'sport performance|physiological performance|stroke volume', 'specific environnement adaptations|altitude performance|high-altitude illnesses|acute mountain sickness|fatigue'","1.0","1999.0"
"'technical performance|skill performance|motor skill performance|gross motor skill performance|cycling performance'","1.0","1999.0"
"'sport performance|physiological performance|blood flow'","1.0","1999.0"
"'sport performance|health|injuries +  illness prevention|physiologic disturbances|dehydration'","1.0","1999.0"
"'sport performance|health|rehabilitation|reflex control|reflex'","1.0","1999.0"
"'sport performance|performance recovery|physiological recovery|muscle damage'","1.0","1999.0"
"'sport performance|health|rehabilitation'","7.0","2000.0"
"'sport performance|physical performance|endurance performance'","6.0","2000.0"
"'sport performance|physical performance|endurance performance|aerobic performance|vo2max'","5.0","2000.0"
"'sport performance|mental performance|emotion management|stress management|stress'","4.0","2000.0"
"'sport performance|physical performance|endurance performance|aerobic performance'","3.0","2000.0"
"'health|injuries +  illness prevention|physiologic disturbances|adverse event|adverse effect'","2.0","2000.0"
"'sport performance|physiological performance|body composition'","2.0","2000.0"
"'sport performance|physical performance'","2.0","2000.0"
"'sport performance|physiological performance|homeostasis'","2.0","2000.0"
"'specific environnement adaptations|altitude performance|high-altitude illnesses|acute mountain sickness|fatigue'","2.0","2000.0"
"'sport performance|physical performance|endurance performance', 'sport performance|physiological performance|muscle metabolism|muscle glycogen'","1.0","2000.0"
"'sport performance|physical performance|strength performance|maximal voluntary contraction', 'sport performance|physical performance|endurance performance|endurance exercise performance'","1.0","2000.0"
"'sport performance|physiological performance|cardiorespiratory performance|cardiorespiratory fitness', 'sport performance|mental performance|perceived exertion'","1.0","2000.0"
"'sport performance|health|organ system/region illnesses|gastrointestinal illnesses|weight gain'","1.0","2000.0"
"'sport performance|health|injuries +  illness prevention|physiologic disturbances|menstrual dysfunction'","1.0","2000.0"
"'technical performance|skill performance|motor skill performance|gross motor skill performance|swimming performance'","1.0","2000.0"
"'sport performance|physical performance|mobility performance|foot and ankle mobility', 'sport performance|health|injuries|foot and ankle injuries', 'sport performance|health|injuries|foot and ankle injuries|ankle sprain', 'sport performance|health|rehabilitation'","1.0","2000.0"
"'sport performance|health|organ system/region illnesses|cardiovascular illnesses|collapse'","1.0","2000.0"
"'sport performance|health|organ system/region illnesses|gastrointestinal illnesses|vomiting'","1.0","2000.0"
"'sport performance|physiological performance|muscle metabolism|muscle glycogen', 'sport performance|physiological performance|muscle metabolism|muscle glycogen|muscle glycogen content'","1.0","2000.0"
"'sport performance|physical performance|endurance performance', 'sport performance|physical performance|endurance performance|endurance exercise performance'","1.0","2000.0"
"'sport performance|physiological performance|muscle metabolism|muscle glycogen', 'sport performance|physiological performance|muscle metabolism|muscle glycogen|muscle glycogen resynthesis'","1.0","2000.0"
"'sport performance|health|injuries +  illness prevention|physiologic disturbances|oxidative stress'","1.0","2000.0"
"'sport performance|physiological performance|specific environnement adaptations|exercise performance in hot and humid environments|rehydration'","1.0","2000.0"
"'sport performance|physical performance|velocity'","1.0","2000.0"
"'sport performance|physical performance|endurance performance', 'sport performance|physical performance|endurance performance|aerobic performance|vo2max', 'sport performance|physiological performance|specific environnement adaptations|sea level performance', 'sport performance|performance recovery|physical recovery|overtraining'","1.0","2000.0"
"'sport performance|physiological performance|body composition|lean mass', 'sport performance|physiological performance|body composition|body fat', 'sport performance|health|rehabilitation', 'health|injuries +  illness prevention|physiologic disturbances|adverse event|adverse effect'","1.0","2000.0"
"'sport performance|health|injuries|foot and ankle injuries|ankle sprain'","1.0","2000.0"
"'sport performance|mental performance|cognitive performance|spatial intelligence|spatial learning'","1.0","2000.0"
"'sport performance|health|injuries +  illness prevention|biomechanical deficit|muscle imbalance'","1.0","2000.0"
"'sport performance|mental performance|emotion management|stress management|stress', 'sport performance|health|injuries +  illness prevention|physiologic disturbances|oxidative stress'","1.0","2000.0"
"'sport performance|physical performance', 'sport performance|physical performance|exercise performance'","1.0","2000.0"
"'sport performance|physical performance|flexibility performance|hamstring flexibility'","1.0","2000.0"
"'sport performance|physiological performance|bone health', 'sport performance|physiological performance|bone density', 'sport performance|mental performance|emotion management|stress management|stress'","1.0","2000.0"
"'sport performance|health|organ system/region illnesses|cardiovascular illnesses|dizziness', 'sport performance|health|organ system/region illnesses|gastrointestinal illnesses|weight gain', 'sport performance|health|organ system/region illnesses|gastrointestinal illnesses|diarrhea', 'health|injuries +  illness prevention|physiologic disturbances|adverse event|safety'","1.0","2000.0"
"'specific environnement adaptations|exercise performance in hot and humid environments|physiological strain|thermal strain|thermoregulation', 'sport performance|physical performance|power performance|aerobic power', 'sport performance|health|rehabilitation|injuries treatment|healing'","1.0","2000.0"
"'sport performance|physical performance|stability performance|knee stability', 'sport performance|health|rehabilitation|functional rehabilitation|neuromuscular control'","1.0","2000.0"
"'sport performance|physiological performance|immunity', 'sport performance|mental performance|emotion management|mood', 'sport performance|mental performance|emotion management|mood|mood state', 'specific environnement adaptations|altitude performance|high-altitude illnesses|acute mountain sickness|fatigue'","1.0","2000.0"
"'sport performance|physiological performance|muscle metabolism', 'sport performance|physiological performance|muscle metabolism|muscle glycogen', 'sport performance|physiological performance|muscle metabolism|muscle phosphocreatine'","1.0","2000.0"
"'sport performance|physiological performance|immunity'","1.0","2000.0"
"'specific environnement adaptations|altitude performance|high-altitude illnesses|acute mountain sickness|fatigue', 'sport performance|health|rehabilitation'","1.0","2000.0"
"'technical performance|skill performance|motor skill performance|fine motor skill performance|motor performance', 'health|injuries +  illness prevention|physiologic disturbances|adverse event|safety'","1.0","2000.0"
"'sport performance|health|injuries|wrist and hand injuries|phalangeal fractures'","1.0","2000.0"
"'sport performance|physical performance|endurance performance|endurance exercise performance'","1.0","2000.0"
"'sport performance|performance recovery|physical recovery|overtraining'","1.0","2000.0"
"'sport performance|physiological performance|muscle metabolism|muscle glycogen', 'sport performance|health|injuries +  illness prevention|physiologic disturbances|glycogen depletion'","1.0","2000.0"
"'sport performance|physiological performance|renal function', 'sport performance|physical performance', 'sport performance|health|organ system/region illnesses|gastrointestinal illnesses|weight gain', 'health|injuries +  illness prevention|physiologic disturbances|adverse event|safety'","1.0","2000.0"
"'sport performance|health|injuries|lower limb injuries|hamstring injury'","1.0","2000.0"
"'sport performance|physiological performance|homeostasis|blood glucose homeostasis|blood glucose levels', 'sport performance|physiological performance|homeostasis|blood glucose homeostasis|glucose levels'","1.0","2000.0"
"'sport performance|physiological performance|homeostasis|blood glucose homeostasis|glucose levels'","1.0","2000.0"
"'sport performance|physiological performance|specific environnement adaptations|exercise performance in hot and humid environments|running time to exhaustion'","1.0","2000.0"
"'sport performance|physical performance|endurance performance|aerobic performance|vo2max', 'sport performance|physiological performance|maximal cardiac output'","1.0","2000.0"
"'sport performance|physiological performance|body composition', 'specific environnement adaptations|altitude performance|high-altitude illnesses|acute mountain sickness|fatigue'","1.0","2000.0"
"'sport performance|physical performance|strength performance|muscle strength'","1.0","2000.0"
"'sport performance|physiological performance'","1.0","2000.0"
"'sport performance|physical performance|exercise performance'","1.0","2000.0"
"'sport performance|economical'","1.0","2000.0"
"'sport performance|mental performance|psychological skills|concentration capacity'","1.0","2000.0"
"'sport performance|mental performance', 'specific environnement adaptations|altitude performance|high-altitude illnesses|acute mountain sickness|fatigue'","1.0","2000.0"
"'sport performance|health|rehabilitation|joint range of motion'","1.0","2000.0"
"'technical performance|skill performance|motor skill performance|gross motor skill performance|running performance'","1.0","2000.0"
"'sport performance|physiological performance|specific environnement adaptations|exercise performance in hot and humid environments|plasma volume', 'sport performance|health|injuries +  illness prevention|physiologic disturbances|gastrointestinal discomfort'","1.0","2000.0"
"'sport performance|physical performance|exercise performance', 'sport performance|physiological performance|homeostasis|blood glucose homeostasis|glucose levels'","1.0","2000.0"
"'technical performance|skill performance|motor skill performance|gross motor skill performance|cycling performance'","1.0","2000.0"
"'sport performance|mental performance|psychological skills|anxiety control|anxiety'","1.0","2000.0"
"'sport performance|physiological performance|inflammation'","1.0","2000.0"
"'technical performance|skill performance|motor skill performance|gross motor skill performance|cycling performance', 'sport performance|physiological performance|muscle metabolism|muscle glycogen', 'sport performance|physiological performance|muscle metabolism|muscle glycogen|muscle glycogen content'","1.0","2000.0"
"'skill performance|motor skill performance|gross motor skill performance|running performance|running economy'","1.0","2000.0"
"'sport performance|physiological performance|muscle metabolism'","1.0","2000.0"
"'technical performance|skill performance|motor skill performance|gross motor skill performance|cycling performance', 'sport performance|physiological performance|muscle metabolism|muscle glycogen', 'sport performance|physiological performance|muscle metabolism|muscle glycogen|muscle glycogen concentrations'","1.0","2000.0"
"'sport performance|health|rehabilitation|reflex control', 'sport performance|health|rehabilitation|reflex control|reflex'","1.0","2000.0"
"'sport performance|physiological performance|stroke volume'","1.0","2000.0"
"'sport performance|physiological performance|specific environnement adaptations|altitude performance|erythropoiesis'","1.0","2000.0"
"'sport performance|physiological performance|specific environnement adaptations|exercise performance in hot and humid environments|plasma volume'","1.0","2000.0"
"'health|injuries +  illness prevention|physiologic disturbances|adverse event|safety'","1.0","2000.0"
"'sport performance|physiological performance|bone health|bone mass', 'sport performance|health|injuries|hip injuries|hip fracture', 'sport performance|health|injuries|knees injuries|anterior cruciate ligament injury'","1.0","2000.0"
"'sport performance|physical performance', 'health|injuries +  illness prevention|physiologic disturbances|adverse event|safety'","1.0","2000.0"
"'sport performance|technical performance|motor ability|jumping ability'","1.0","2000.0"
"'sport performance|physical performance|strength performance|muscle hypertrophy|skeletal muscle hypertrophy'","1.0","2000.0"
"'sport performance|health|rehabilitation'","8.0","2008.0"
"'sport performance|physical performance|endurance performance'","7.0","2008.0"
"'health|injuries +  illness prevention|physiologic disturbances|adverse event|safety'","7.0","2008.0"
"'specific environnement adaptations|altitude performance|high-altitude illnesses|acute mountain sickness|fatigue'","6.0","2008.0"
"'skill performance|motor skill performance|gross motor skill performance|jump performance|vertical jump performance'","4.0","2008.0"
"'health|injuries +  illness prevention|physiologic disturbances|adverse event|adverse effect'","3.0","2008.0"
"'sport performance|physiological performance|heart rate'","3.0","2008.0"
"'technical performance|skill performance|motor skill performance|gross motor skill performance|cycling performance'","3.0","2008.0"
"'sport performance|physical performance|exercise performance'","2.0","2008.0"
"'sport performance|physical performance|strength performance|muscle strength'","2.0","2008.0"
"'skill performance|motor skill performance|gross motor skill performance|running performance|high-intensity intermittent running performance'","2.0","2008.0"
"'sport performance|physical performance|endurance performance|muscular endurance'","2.0","2008.0"
"'sport performance|physical performance'","2.0","2008.0"
"'sport performance|health|injuries|foot and ankle injuries|ankle sprain'","2.0","2008.0"
"'technical performance|skill performance|motor skill performance|gross motor skill performance|running performance'","2.0","2008.0"
"'sport performance|physiological performance|body composition'","2.0","2008.0"
"'sport performance|health|injuries|neurological injuries|concussion'","2.0","2008.0"
"'skill performance|motor skill performance|gross motor skill performance|running performance|sprint performance'","2.0","2008.0"
"'health|injuries +  illness prevention|physiologic disturbances|adverse event|adverse effect', 'health|injuries +  illness prevention|physiologic disturbances|adverse event|safety'","1.0","2008.0"
"'sport performance|performance recovery|physiological recovery|muscle damage', 'sport performance|economical'","1.0","2008.0"
"'skill performance|motor skill performance|gross motor skill performance|jump performance|vertical jump performance', 'sport performance|physical performance|strength performance|muscle strength'","1.0","2008.0"
"'technical performance|skill performance|motor skill performance|gross motor skill performance|running performance', 'technical performance|skill performance|motor skill performance|gross motor skill performance|cycling performance'","1.0","2008.0"
"'sport performance|mental performance|emotion management|stress management|stress', 'sport performance|health|injuries +  illness prevention|physiologic disturbances|oxidative stress'","1.0","2008.0"
"'sport performance|physical performance|power performance|critical power'","1.0","2008.0"
"'sport performance|physical performance|strength performance|explosive strength performance|explosive movements', 'sport performance|physical performance|flexibility performance|musculotendinous stiffness'","1.0","2008.0"
"'sport performance|performance recovery|physiological recovery|collagen synthesis'","1.0","2008.0"
"'sport performance|economical|cost-effectiveness'","1.0","2008.0"
"'sport performance|physical performance|strength performance|maximal voluntary contraction'","1.0","2008.0"
"'sport performance|mental performance|emotion management|mood', 'sport performance|physical performance|strength performance|muscle strength', 'mental performance|cognitive performance|executive function|attention skills|alertness', 'specific environnement adaptations|altitude performance|high-altitude illnesses|acute mountain sickness|fatigue'","1.0","2008.0"
"'sport performance|physical performance|endurance performance', 'sport performance|physical performance|exercise performance', 'sport performance|physiological performance|homeostasis|blood glucose homeostasis|glucose levels'","1.0","2008.0"
"'technical performance|skill performance|motor skill performance|gross motor skill performance|kicking performance', 'sport performance|physical performance|velocity'","1.0","2008.0"
"'sport performance|physiological performance|cardiorespiratory performance|cardiorespiratory fitness', 'sport performance|health|injuries +  illness prevention|physiologic disturbances|adverse event'","1.0","2008.0"
"'sport performance|health|organ system/region illnesses|cardiovascular illnesses|shortness of breath'","1.0","2008.0"
"'sport performance|technical performance|balance performance|proprioception', 'sport performance|health|rehabilitation'","1.0","2008.0"
"'sport performance|mental performance|emotion management|stress management|stress'","1.0","2008.0"
"'sport performance|mental performance|emotion management|mood', 'sport performance|mental performance|emotion management|mood|mood state', 'technical performance|skill performance|motor skill performance|gross motor skill performance|cycling performance', 'sport performance|physical performance|exercise performance', 'sport performance|performance recovery|physiological recovery|muscle damage'","1.0","2008.0"
"'sport performance|health|injuries|shoulder injuries', ""sport performance|health|injuries|wrist and hand injuries|gamekeeper's thumb""","1.0","2008.0"
"'physiological performance|specific environnement adaptations|altitude performance|high-altitude illnesses|fatigue resistance'","1.0","2008.0"
"'sport performance|health|rehabilitation', 'sport performance|health|rehabilitation|functional rehabilitation'","1.0","2008.0"
"'sport performance|physical performance|strength performance|muscle strength', 'sport performance|physical performance|power performance|muscle power'","1.0","2008.0"
"'sport performance|physical performance|strength performance|muscle strength', 'sport performance|physical performance|mobility performance|mobility', 'sport performance|health|organ system/region illnesses|neurological illnesses|muscle weakness'","1.0","2008.0"
"'technical performance|skill performance|motor skill performance|gross motor skill performance|running performance', 'sport performance|physical performance|flexibility performance|muscle stiffness', 'sport performance|health|organ system/region illnesses|musculoskeletalillnesses|joint stiffness'","1.0","2008.0"
"'sport performance|physical performance|power performance|aerobic power', 'sport performance|physical performance|power performance|anaerobic power'","1.0","2008.0"
"'sport performance|mental performance|mental health|mental disorders|doping'","1.0","2008.0"
"'sport performance|performance recovery|physiological recovery|muscle recruitment'","1.0","2008.0"
"'sport performance|mental performance|cognitive performance|reaction time'","1.0","2008.0"
"'sport performance|physiological performance|specific environnement adaptations|exercise performance in hot and humid environments|plasma volume', 'sport performance|physiological performance|homeostasis', 'sport performance|physiological performance|homeostasis|fluid homeostasis'","1.0","2008.0"
"'sport performance|physical performance|endurance performance|anaerobic endurance performance|anaerobic performance'","1.0","2008.0"
"'specific environnement adaptations|altitude performance|high-altitude illnesses|acute mountain sickness|fatigue', 'sport performance|health|organ system/region illnesses|neurological illnesses|muscle weakness', 'sport performance|health|rehabilitation', 'health|injuries +  illness prevention|physiologic disturbances|adverse event|adverse effect'","1.0","2008.0"
"'technical performance|skill performance|motor skill performance|gross motor skill performance|throwing performance'","1.0","2008.0"
"'sport performance|mental performance|emotion management|stress management|stress', 'health|injuries +  illness prevention|physiologic disturbances|adverse event|adverse effect'","1.0","2008.0"
"'sport performance|health|organ system/region illnesses|cardiovascular illnesses|chest pain', 'sport performance|health|organ system/region illnesses|cardiovascular illnesses|dizziness'","1.0","2008.0"
"'sport performance|mental performance|emotion management|mood', 'sport performance|mental performance|emotion management|mood|mood state'","1.0","2008.0"
"'sport performance|physical performance|velocity|peak sprinting velocity'","1.0","2008.0"
"'specific environnement adaptations|exercise performance in hot and humid environments|physiological strain|thermal strain|thermoregulation', 'sport performance|physiological performance|specific environnement adaptations|exercise performance in hot and humid environments|plasma volume'","1.0","2008.0"
"'sport performance|physical performance|endurance performance|muscular endurance', 'sport performance|physical performance|endurance performance|muscular endurance|lower body muscular endurance'","1.0","2008.0"
"'sport performance|physiological performance|heart rate', 'sport performance|physiological performance|fat metabolism'","1.0","2008.0"
"'sport performance|physiological performance|heart rate', 'specific environnement adaptations|exercise performance in hot and humid environments|physiological strain|thermal strain|thermoregulation', 'sport performance|physiological performance|specific environnement adaptations|exercise performance in hot and humid environments|physiological strain'","1.0","2008.0"
"'sport performance|physical performance|strength performance|muscle strength', 'sport performance|health|injuries|knees injuries|anterior cruciate ligament injury'","1.0","2008.0"
"'sport performance|health|organ system/region illnesses|cardiovascular illnesses|collapse'","1.0","2008.0"
"'sport performance|mental performance|cognitive performance|cognitive function'","1.0","2008.0"
"'sport performance|physiological performance|blood flow'","1.0","2008.0"
"'sport performance|physical performance|endurance performance|anaerobic endurance performance|anaerobic performance', 'specific environnement adaptations|altitude performance|high-altitude illnesses|acute mountain sickness|fatigue'","1.0","2008.0"
"'sport performance|physical performance|strength performance|maximum strength'","1.0","2008.0"
"'sport performance|physical performance|endurance performance|aerobic performance'","1.0","2008.0"
"'sport performance|health|organ system/region illnesses|musculoskeletalillnesses|joint stiffness'","1.0","2008.0"
"'sport performance|health|injuries|knees injuries|anterior cruciate ligament injury'","1.0","2008.0"
"'sport performance|physical performance|endurance performance|endurance exercise performance'","1.0","2008.0"
"'sport performance|health|rehabilitation|reflex control|reflex'","1.0","2008.0"
"'sport performance|performance recovery|faster recovery', 'sport performance|health|organ system/region illnesses|musculoskeletalillnesses|joint swelling'","1.0","2008.0"
"'sport performance|physiological performance|muscle metabolism'","1.0","2008.0"
"'technical performance|skill performance|motor skill performance|gross motor skill performance|jump performance', 'sport performance|health|rehabilitation|reflex control|reflex'","1.0","2008.0"
"'sport performance|health|injuries +  illness prevention|physiologic disturbances|dehydration'","1.0","2008.0"
"'technical performance|skill performance|motor skill performance|gross motor skill performance|cycling performance', 'sport performance|health|rehabilitation'","1.0","2008.0"
"'sport performance|physiological performance|central fatigue'","1.0","2008.0"
"'sport performance|physiological performance|body composition|weight loss'","1.0","2008.0"
"'sport performance|physical performance|endurance performance', 'sport performance|physical performance|endurance performance|anaerobic endurance performance|anaerobic performance'","1.0","2008.0"
"'sport performance|physiological performance|arterial stiffness'","1.0","2008.0"
"'sport performance|performance recovery|physiological recovery|muscle soreness'","1.0","2008.0"
"'technical performance|skill performance|motor skill performance|gross motor skill performance|kicking performance', 'sport performance|physical performance|strength performance|muscle hypertrophy', 'sport performance|physical performance|velocity', 'sport performance|physical performance|velocity|peak angular velocity'","1.0","2008.0"
"'sport performance|physical performance|endurance performance|muscular endurance', 'sport performance|physical performance|resistance exercise performance'","1.0","2008.0"
"'sport performance|physiological performance|acid-base balance'","1.0","2008.0"
"'sport performance|physiological performance|body composition|muscle mass'","1.0","2008.0"
"'sport performance|health|rehabilitation', 'sport performance|health|rehabilitation|reflex control|reflex'","1.0","2008.0"
"'sport performance|physical performance', 'sport performance|physical performance|endurance performance|anaerobic endurance performance|anaerobic performance'","1.0","2008.0"
"'sport performance|physical performance|exercise performance', 'sport performance|health|rehabilitation', 'health|injuries +  illness prevention|physiologic disturbances|adverse event|safety'","1.0","2008.0"
"'sport performance|physiological performance|muscle oxygenation'","1.0","2008.0"
"'sport performance|mental performance|self perception|self-esteem', 'sport performance|physiological performance|bone density', 'sport performance|physiological performance|bone health|bone mass'","1.0","2008.0"
"'skill performance|motor skill performance|gross motor skill performance|running performance|running economy', 'sport performance|physiological performance|specific environnement adaptations|sea level performance'","1.0","2008.0"
"'sport performance|physiological performance|specific environnement adaptations|exercise performance in hot and humid environments|rehydration'","1.0","2008.0"
"'sport performance|health|organ system/region illnesses|gastrointestinal illnesses|weight gain'","1.0","2008.0"
"'sport performance|physiological performance|bone health'","1.0","2008.0"
"'sport performance|health|rehabilitation', 'sport performance|health|rehabilitation|functional rehabilitation|neuromuscular control'","1.0","2008.0"
"'sport performance|physiological performance|specific environnement adaptations|altitude performance|inflammatory response'","1.0","2008.0"
"'sport performance|physical performance|flexibility performance|musculotendinous stiffness'","1.0","2008.0"
"'sport performance|physical performance|exercise performance', 'sport performance|physiological performance|muscle metabolism|muscle creatine', 'sport performance|physiological performance|muscle metabolism|muscle creatine|muscle creatine content', 'sport performance|physiological performance|muscle metabolism|muscle glycogen', 'sport performance|performance recovery|faster recovery', 'sport performance|health|rehabilitation'","1.0","2008.0"
"'sport performance|physical performance|flexibility performance|hamstring flexibility'","1.0","2008.0"
"'specific environnement adaptations|altitude performance|high-altitude illnesses|acute mountain sickness|fatigue', 'sport performance|health|organ system/region illnesses|gastrointestinal illnesses|heartburn', 'health|injuries +  illness prevention|physiologic disturbances|adverse event|adverse effect'","1.0","2008.0"
"'sport performance|physiological performance|cardiorespiratory performance|cardiorespiratory fitness', 'sport performance|physiological performance|homeostasis|blood glucose homeostasis|glucose levels'","1.0","2008.0"
"'specific environnement adaptations|altitude performance|high-altitude illnesses|acute mountain sickness|fatigue', 'sport performance|health|rehabilitation'","1.0","2008.0"
"'sport performance|physical performance', 'sport performance|physical performance|strength performance|muscle strength', 'specific environnement adaptations|altitude performance|high-altitude illnesses|acute mountain sickness|fatigue'","1.0","2008.0"
"'sport performance|physiological performance|body composition|body fat'","1.0","2008.0"
"'sport performance|physiological performance|heart rate', 'sport performance|physiological performance|heart rate|heart rate variability', 'sport performance|physiological performance|homeostasis'","1.0","2008.0"
"'sport performance|physical performance|endurance performance|endurance capacity'","1.0","2008.0"
"'sport performance|physical performance|velocity|maximum velocity', 'specific environnement adaptations|altitude performance|high-altitude illnesses|acute mountain sickness|fatigue', 'sport performance|health|injuries +  illness prevention|physiologic disturbances|physical fatigue'","1.0","2008.0"
"'sport performance|physical performance|mobility performance|mobility', 'sport performance|physiological performance|joint pain'","1.0","2008.0"
"'sport performance|physical performance|endurance performance|aerobic performance|vo2max'","1.0","2008.0"
"'sport performance|physiological performance|homeostasis'","1.0","2008.0"
"'sport performance|mental performance|emotion management|stress management|stress', 'sport performance|performance recovery|physiological recovery|muscle damage', 'sport performance|health|injuries +  illness prevention|physiologic disturbances|oxidative stress'","1.0","2008.0"
"'sport performance|mental performance|mental health'","1.0","2008.0"
"'sport performance|mental performance|emotion management|enjoyment'","1.0","2008.0"
"'sport performance|physiological performance|heart rate', 'specific environnement adaptations|exercise performance in hot and humid environments|physiological strain|thermal strain|thermoregulation', 'physiological performance|specific environnement adaptations|exercise performance in hot and humid environments|physiological strain|thermal strain'","1.0","2008.0"
"'sport performance|physiological performance|specific environnement adaptations|altitude performance|haematocrit'","1.0","2008.0"
"'sport performance|health|organ system/region illnesses|musculoskeletalillnesses|muscle pain'","1.0","2008.0"
"'sport performance|technical performance|coordination', 'sport performance|health|rehabilitation'","1.0","2008.0"
"'technical performance|skill performance|motor skill performance|gross motor skill performance|throwing performance', 'sport performance|physical performance|velocity|throwing velocity'","1.0","2008.0"
"'sport performance|physical performance|endurance performance', 'sport performance|physiological performance|mitochondrial biogenesis', 'health|injuries +  illness prevention|physiologic disturbances|adverse event|adverse effect'","1.0","2008.0"
"'sport performance|performance recovery|recovery strategies'","1.0","2008.0"
"'sport performance|physical performance|visual performance|pattern recognition'","1.0","2008.0"
"'sport performance|health|rehabilitation'","8.0","1996.0"
"'sport performance|physical performance|endurance performance|aerobic performance|vo2max'","3.0","1996.0"
"'sport performance|health|injuries +  illness prevention|physiologic disturbances|menstrual dysfunction'","3.0","1996.0"
"'health|injuries +  illness prevention|physiologic disturbances|adverse event|safety'","3.0","1996.0"
"'sport performance|health|rehabilitation|reflex control|reflex'","3.0","1996.0"
"'sport performance|physical performance|exercise performance'","2.0","1996.0"
"'sport performance|health|rehabilitation', 'sport performance|health|rehabilitation|injuries treatment|healing'","2.0","1996.0"
"'sport performance|physical performance|endurance performance'","2.0","1996.0"
"'sport performance|physiological performance|muscle metabolism|muscle creatine'","2.0","1996.0"
"'sport performance|mental performance|emotion management|stress management|stress', 'sport performance|health|injuries +  illness prevention|physiologic disturbances|oxidative stress'","1.0","1996.0"
"'technical performance|skill performance|motor skill performance|gross motor skill performance|running performance', 'skill performance|motor skill performance|gross motor skill performance|running performance|running economy', 'sport performance|physical performance|endurance performance|aerobic performance|vo2max'","1.0","1996.0"
"'sport performance|health|rehabilitation|injuries treatment|healing'","1.0","1996.0"
"'skill performance|motor skill performance|gross motor skill performance|running performance|sprint performance', 'skill performance|motor skill performance|gross motor skill performance|swimming performance|sprint swimming performance'","1.0","1996.0"
"'sport performance|physiological performance|muscle metabolism|muscle glycogen', 'sport performance|physiological performance|muscle metabolism|muscle glycogen|muscle glycogen resynthesis'","1.0","1996.0"
"'sport performance|physiological performance|body composition'","1.0","1996.0"
"'sport performance|mental performance|emotion management|mood', 'sport performance|mental performance|emotion management|mood|mood state'","1.0","1996.0"
"'sport performance|physiological performance|homeostasis|blood pressure'","1.0","1996.0"
"'skill performance|motor skill performance|gross motor skill performance|running performance|sprint performance'","1.0","1996.0"
"'technical performance|skill performance|motor skill performance|gross motor skill performance|running performance'","1.0","1996.0"
"'sport performance|mental performance|self perception|body image'","1.0","1996.0"
"'sport performance|physiological performance|muscle metabolism|muscle phosphocreatine'","1.0","1996.0"
"'sport performance|physiological performance|homeostasis', 'sport performance|physiological performance|homeostasis|glutamine homeostasis'","1.0","1996.0"
"'sport performance|physiological performance|specific environnement adaptations|exercise performance in hot and humid environments|plasma volume', 'sport performance|mental performance|emotion management|stress management|stress'","1.0","1996.0"
"'sport performance|physiological performance|aerobic metabolism', 'sport performance|physiological performance|specific environnement adaptations|altitude performance|erythropoiesis'","1.0","1996.0"
"'sport performance|physiological performance|muscle metabolism|atp resynthesis'","1.0","1996.0"
