pmid|doi|ttl|jn|pub|dis|pop|out|abs|eff
32335963|10.1111/sms.13697|effects of active commuting on cardiovascular risk factors: gismo-a randomized controlled feasibility study|Scandinavian journal of medicine & science in sports|2020-08-01|['Cardiovascular diseases']|['Adult']|['cardiovascular risk', 'exercise capacity', 'rehabilitation']|A sedentary lifestyle is a major modifiable risk factor for many chronic diseases. Lifestyle modification in order to increase exercise capacity is key in the prevention and rehabilitation of chronic diseases. This could be achieved by active commute. The aim of this study was to assess the effects of daily active commuting on physical activity (PA) and exercise capacity. Seventy-three healthy hospital employees (age: 46 ± 9 years, 38% male), with a predominantly passive way of commuting, were randomly assigned to two parallel groups, a control group (CG, N = 22) or an intervention group (IG, N = 51), which was further split into public transportation/active commuting (IG-PT, N = 25) and cycling (IG-C, N = 26). Both intervention groups were asked to reach 150 min/wk of moderate- to vigorous-intensity exercise during their commute for 1 year. CG maintained a passive commuting mode. All participants underwent assessment of anthropometry, risk factor stratification, and exercise capacity by a medical doctor at the Institute of Sports Medicine, Prevention and Rehabilitation. Weekly physical activity, using the International Physical Activity Questionnaire and commuting behavior, using an online diary, were used to assess physical activity. At the end of the study, the change in exercise capacity did significantly differ between IG and CG (P = .003, ES = 0.82). Actively covered distances through commuting significantly differed between groups (walking P = .026; cycling P < .001). Therefore, active commuting improves exercise capacity and can be recommended to the working population to increase exercise capacity.|[{'npi': 'bicycling', 'out': 'exercise capacity', 'dis': 'Cardiovascular diseases', 'eff': 3}, {'npi': 'physical activity', 'out': 'exercise capacity', 'dis': 'Cardiovascular diseases', 'eff': 3}, {'npi': 'walking', 'out': 'exercise capacity', 'dis': 'Cardiovascular diseases', 'eff': 3}, {'npi': 'sports', 'out': 'exercise capacity', 'dis': 'Cardiovascular diseases', 'eff': 3}]
31630663|10.1080/17461391.2019.1683610|zumba dancing and aerobic exercise can improve working memory, motor function, and depressive symptoms in female patients with fibromyalgia|European journal of sport science|2020-08-01|['Depression', 'Fibromyalgia']|['Adult', 'Elderly']|['myalgia', 'depression', 'cognitive function', 'memory', 'working memory']|Patients suffering from the Fibromyalgia (FM) have impaired cognitive function, reduced physical activity and more marked depressive symptoms. While physical activity and exercise therapy are not typically part of the standard treatment for this syndrome, there is mounting evidence that regular participation in activities involving physical exertion has a positive impact on psychological functioning in people with FM. This study compares the impact of two different interventions, aerobic exercise training and Zumba dancing, on working memory, motor function and depressive symptoms among female patients with FM. The design also included a control condition. A total of sixty middle-aged female patients with FM (mean age: 35.76 years) and undergoing standard care took part in the study. Participants were randomly assigned to one of the following three conditions: aerobic exercise training, Zumba dancing, or control. At baseline and 12 weeks later after the end of the intervention, participants' working memory, motor function and depressive symptom severity were assessed. Working memory, motor function and depressive symptoms improved over time, but only in the aerobic exercise training and Zumba dancing conditions than in the control condition. Post-hoc analyses showed that improvements were greatest among participants assigned to Zumba dancing, followed by participants who engaged in aerobic exercise training; the scores of the control group remained virtually unchanged. Aerobic exercise training and Zumba dancing can be recommended as add-ons to standard care to improve working memory and to reduce severity of depressive symptoms among female patients with FM. Although motor function improved in both intervention groups, the effects did not reach clinical relevance.|[{'npi': 'physical activity', 'out': 'depression', 'dis': 'Fibromyalgia', 'eff': 3}, {'npi': 'physical activity', 'out': 'cognitive function', 'dis': 'Fibromyalgia', 'eff': 3}, {'npi': 'physical activity', 'out': 'memory', 'dis': 'Fibromyalgia', 'eff': 3}, {'npi': 'physical activity', 'out': 'working memory', 'dis': 'Fibromyalgia', 'eff': 3}, {'npi': 'aerobic exercise', 'out': 'depression', 'dis': 'Fibromyalgia', 'eff': 3}, {'npi': 'aerobic exercise', 'out': 'cognitive function', 'dis': 'Fibromyalgia', 'eff': 3}, {'npi': 'aerobic exercise', 'out': 'memory', 'dis': 'Fibromyalgia', 'eff': 3}, {'npi': 'aerobic exercise', 'out': 'working memory', 'dis': 'Fibromyalgia', 'eff': 3}]
31911074|10.1016/j.burns.2019.12.013|assessing the effects of 6 weeks of intermittent aerobic exercise on aerobic capacity, muscle fatigability, and quality of life in diabetic burned patients: randomized control study|Burns : journal of the International Society for Burn Injuries|2020-08-01|['Diabetes']|['Undefined']|['aerobic capacity', 'adherence']|Both burn and diabetes mellitus (DM) cause functional and psychosocial disabilities. A low-cost and safe approach is greatly required to reduce these disabilities and the effects of aerobic exercise have generated varied evidence to date. The aim of the study was to explore the effects of 6 weeks of intermittent aerobic exercise (IAE) on aerobic capacity, muscle fatigability, and quality of life (QoL) in diabetic burned patients (DBPs). The study design was a prospective, single-blind, randomized controlled trial. Between March 2018 and July 2019 thirty-six (22 males and 16 females) diabetic burned patients were included in the study, their age ranged 35-55 years. They were clinically diagnosed with type 2 DM and total body surface area (TBSA) was 15-30%. The participants were randomly assigned to the IAE group (n = 18) and controls (n = 18). Aerobic capacity, muscle fatigability, and QoL were assessed initially and repeated after 6 weeks of intervention. Initial data demonstrated non-significant differences between the IAE and control groups (p > 0.05). Comparing pre- and post-intervention outcomes showed significant improvement of VO 2 max, muscle fatigability, QoL domains in the IAE group after 6 weeks intervention (p < 0.05) and non-significant changes in the control group (p > 0.05). The IAE group showed statistically significant improvement more than the control group in all outcome measures (p < 0.05). 6 weeks of intermittent aerobic exercise is an effective alternative modality to improve aerobic capacity, muscle fatigability, and QoL in DBPs. Adherence to intermittent aerobic exercise should be practicable into mainstream clinical intervention for those patients.|[{'npi': 'aerobic exercise', 'out': 'aerobic capacity', 'dis': 'Diabetes', 'eff': 3}, {'npi': 'physical activity', 'out': 'aerobic capacity', 'dis': 'Diabetes', 'eff': 3}]
32286711|10.1111/cen.14194|effects of continuous and intermittent aerobic physical training on hormonal and metabolic profile, and body composition in women with polycystic ovary syndrome: a randomized controlled trial|Clinical endocrinology|2020-08-01|['Polycystic Ovary Syndrome']|['Undefined']|['heart rate', 'intra-abdominal fat', 'lipid profile', 'cholesterol']|To evaluate the effects of continuous (CA) and intermittent (IA) aerobic training on hormonal and metabolic parameters and body composition of women with polycystic ovary syndrome (PCOS). Prospective, interventional, randomized study. Randomized controlled training (RCT) with sample allocation and stratification into three groups: CAT (n = 28) and IAT (n = 29) training and no training [control (CG), n = 30]. Before and after 16 weeks of intervention (CAT or IAT) or observation (CG), hormonal and metabolic parameters, body composition and anthropometric indices were evaluated. Aerobic physical training on a treadmill consisted of 30- to 50-minute sessions with intensities ranging from 60% to 90% of the maximum heart rate. In the CA group, there was reduction in waist circumference (WC) (P = .045), hip circumference (P = .032), cholesterol (P ≤ .001), low-density lipoprotein (P = .030) and testosterone (P ≤ .001). In the IAT group, there was a reduction in WC (P = .014), waist-to-hip ratio (P = .012), testosterone (P = .019) and the free androgen index (FAI) (P = .037). The CG showed increases in WC (P = .049), total body mass (P = .015), body fat percentage (P = .034), total mass of the arms (P ≤ .001), trunk fat percentage (P = .033), leg fat percentage (P = .021) and total gynoid mass (P = .011). CAT and IAT training reduced anthropometric indices and hyperandrogenism in PCOS, whereas only IAT training reduced the FAI. Furthermore, only CAT training improved the lipid profile.|[{'npi': 'aerobic exercise', 'out': 'intra-abdominal fat', 'dis': 'Polycystic Ovary Syndrome', 'eff': 3}, {'npi': 'aerobic exercise', 'out': 'lipid profile', 'dis': 'Polycystic Ovary Syndrome', 'eff': 3}, {'npi': 'aerobic exercise', 'out': 'cholesterol', 'dis': 'Polycystic Ovary Syndrome', 'eff': 3}, {'npi': 'physical activity', 'out': 'intra-abdominal fat', 'dis': 'Polycystic Ovary Syndrome', 'eff': 3}, {'npi': 'physical activity', 'out': 'lipid profile', 'dis': 'Polycystic Ovary Syndrome', 'eff': 3}, {'npi': 'physical activity', 'out': 'cholesterol', 'dis': 'Polycystic Ovary Syndrome', 'eff': 3}]
33045954||moderate-intensity continuous training improves fgf21 and klb expression in obese mice|Biochemistry. Biokhimiia|2020-08-01|['Overweight']|['Animal']|['weight', 'weight loss']|Fibroblast growth factor 21 (FGF21) and β-Klotho (KLB) play an important role in preventing and treating overweight and obesity. However, it is unclear what conditions promote FGF21 and KLB expression in different tissues. Therefore, we studied expression of FGF21 and KLB with respect to two exercise regimes: moderate-intensity continuous training (MICT) and high-intensity interval training (HIIT) (two popular strategies in weight loss). Mice were randomly divided into three groups (n = 8 per group): MICT, HIIT, and sedentary lifestyle (SED). All mice were fed a high-fat diet (HFD) for 12 weeks to induce obesity. The exercise was performed on a motorized treadmill for another eight weeks and the diet continued in each group. We found that both MICT and HIIT had positive effects on the loss of HFD-induced body weight increase and serum FGF21 levels. HIIT promoted decrease of the body weight and serum triglyceride (TG) levels, while MICT was more effective at enhancing FGF21 and KLB expression in the liver, brown adipose tissue (BAT), and muscle at the mRNA and protein levels.|[{'npi': 'high-intensity interval training', 'out': 'weight loss', 'dis': 'Overweight', 'eff': 3}, {'npi': 'physical activity', 'out': 'weight loss', 'dis': 'Overweight', 'eff': 3}]
32689617|10.1016/j.jstrokecerebrovasdis.2020.104933|effects of joint mobilization and stretching on the range of motion for ankle joint and spatiotemporal gait variables in stroke patients|Journal of stroke and cerebrovascular diseases : the official journal of National Stroke Association|2020-08-01|['Stroke']|['Elderly', 'Adult']|['rehabilitation', 'range of motion', 'speed']|Stroke patients have limited ranges of motion and gait disturbances due to neurological deficits and connective tissue changes. We assessed the effects of joint mobilization and active stretching on ankle joint range of motion and gait in stroke patients. In total, 45 stroke patients were evenly divided into three groups: joint mobilization, active stretching, and combination (joint mobilization and active stretching) groups. Patients in each group received the corresponding interventions in a non-simultaneous manner for 6 weeks in total (3 days per week, 15 min per day). The range of motion of the ankle joint was measured using a goniometer, and spatiotemporal gait variables were measured using G-walk. All measurements were taken immediately before and after the 6-week intervention. The joint mobilization group exhibited significantly increased range of motion for ankle joint after the intervention (p < 0.05), while the spatiotemporal gait variables were unchanged. In the active stretching group, both the range of motion of the ankle joint in the supine position and the spatiotemporal gait variables (cadence, speed, stride length) were significantly increased (p < 0.05). In the combination group, both the range of motion of the ankle joint and spatiotemporal gait variables (cadence, speed, stride length) were significantly increased (p < 0.05). Combination therapy of joint mobilization and active stretching improves the range of motion of the ankle joint and spatiotemporal gait variables in stroke patients, suggesting that ankle rehabilitation of stroke patients should include limited joint structure and muscles shortness.|[{'npi': 'physical activity', 'out': 'speed', 'dis': 'Stroke', 'eff': 3}, {'npi': 'muscle stretching exercises', 'out': 'rehabilitation', 'dis': 'Stroke', 'eff': 3}, {'npi': 'muscle stretching exercises', 'out': 'range of motion', 'dis': 'Stroke', 'eff': 3}, {'npi': 'muscle stretching exercises', 'out': 'speed', 'dis': 'Stroke', 'eff': 3}, {'npi': 'physical activity', 'out': 'rehabilitation', 'dis': 'Stroke', 'eff': 3}, {'npi': 'physical activity', 'out': 'range of motion', 'dis': 'Stroke', 'eff': 3}]
32602966|10.1111/epi.16588|effect of combined physical training on cognitive function in people with epilepsy: results from a randomized controlled trial|Epilepsia|2020-08-01|['Epilepsy']|['Adult']|['weight', 'maximal oxygen consumption', 'strength', 'cognitive function', 'cognition', 'memory', 'executive function', 'attention']|To examine the effect of 12-week exercise program on cognitive function in people with epilepsy. Twenty-one physically inactive subjects were randomized into two groups: the exercise group (EG) or the control group (CG). EG performed 12 weeks of combined physical training. CG was advised to maintain usual daily activities. EG received a structured, individually supervised exercise program with two 60-minute sessions per week. Each session included warmup (5-minutes), aerobic (15-20 minutes at 14-17 on Borg scale), strength (2-3 sets, 10-15 repetitions), and 5-minute active stretches. Sociodemographic characteristics, clinical information, memory (Digit Span Test [DST]), executive function (Trail Making Test [TMT] A and B), Stroop Color and Word Test, a verbal fluency task, global cognitive function (Montreal Cognitive Assessment [MoCA]), anthropometric measurements (weight, height, and hip and waist circumferences), cardiorespiratory fitness (maximal oxygen consumption [VO 2 max]), and strength (dynamometer) were measured at baseline and after the 12-week intervention. Exercise decreased time spent on TMT-A from baseline to postintervention (difference = -7.9 seconds, 95% confidence interval [CI] = -14.5 to -1.3, P = .023). EG improved total number of words on the verbal fluency task after intervention (difference = 8.1 words, 95% CI = 3.0 to 13.2, P = .002). EG also improved the score on MoCA at 1.7 (95% CI = 0.1 to 3.3, P = .043) points. We observed a 22.4% (95% CI = 13.1 to 31.6, P = .021) improvement in executive function in EG. No effect of group, time, or group × time was observed on any other cognitive test. Changes in VO 2 max were negatively associated with changes in performance on DST (r = -.445, P = .049) and overall memory score (r = -.544, P = .042). This randomized controlled trial provided the first evidence that combined physical training improves executive function in adults with epilepsy, showing main improvements in attention and language tasks. Physical exercise should be encouraged for people with epilepsy to reduce the burden on cognitive function associated with this disease.|[{'npi': 'physical activity', 'out': 'cognitive function', 'dis': 'Epilepsy', 'eff': 3}, {'npi': 'physical activity', 'out': 'cognition', 'dis': 'Epilepsy', 'eff': 3}, {'npi': 'physical activity', 'out': 'executive function', 'dis': 'Epilepsy', 'eff': 3}, {'npi': 'physical activity', 'out': 'attention', 'dis': 'Epilepsy', 'eff': 3}]
32169459|10.1016/j.apmr.2019.12.023|aquatic cycling improves knee pain and physical functioning in patients with knee osteoarthritis: a randomized controlled trial|Archives of physical medicine and rehabilitation|2020-08-01|['Osteoarthritis']|['Elderly', 'Adult']|['pain', 'physical functioning']|To assess the efficacy of a 12-week aquatic cycling training program for improving knee pain and physical functioning in patients with knee osteoarthritis (OA). Two-arm, single-blind, parallel-group randomized controlled trial. OA outpatient clinic of the Maastricht University Medical Center+. Patients (N=111, 50-70y) with unilateral mild-to-moderate knee OA. Participants (aquatic cycling [AC] group, n=55) received AC sessions of 45 min each 2 times per week. Each session combined upright seated cycling with out-of-saddle positions and exercises for the upper and lower body. The usual care (UC) group (n=47) continued with UC and was offered 12 AC sessions in a local swimming pool after their trial participation. The Knee Injury and Osteoarthritis Outcome Score (KOOS) on knee pain and physical function was assessed at baseline, postintervention, and at 24-wk follow-up. Multilevel (mixed regression) analysis examined the effects. Average attendance rate for the AC sessions was 80%. Statistically significant differences at postintervention and follow-up were found for knee pain in mean ± SD (UC pretest, 57.89±15.26; posttest, 55.90±18.04; follow-up, 57.24±19.16; and AC pretest, 56.96±12.96; posttest, 63.55±15.33; follow-up, 64.35±17.26; estimate, 8.16; SE, 3.27; 95% confidence interval [CI], 1.67-14.64; effect size [ES], 0.50) and physical functioning (UC pretest, 66.32±16.28; posttest, 66.80±19.04; follow-up, 65.42±17.98; and AC pretest, 61.89±17.151; posttest, 70.14±17.52; follow-up, 69.00±16.84; estimate, 7.16; SE, 3.19; 95% CI, 0.83-13.49; ES, 0.43) in favor of the aquatic group. The results suggest that a 12-week AC training program improves self-reported knee pain and physical functioning in patients with mild-to-moderate knee OA compared to UC.|[{'npi': 'bicycling', 'out': 'pain', 'dis': 'Osteoarthritis', 'eff': 3}, {'npi': 'bicycling', 'out': 'physical functioning', 'dis': 'Osteoarthritis', 'eff': 3}, {'npi': 'physical activity', 'out': 'pain', 'dis': 'Osteoarthritis', 'eff': 3}, {'npi': 'physical activity', 'out': 'physical functioning', 'dis': 'Osteoarthritis', 'eff': 3}]
32435057|10.1038/s41416-020-0866-y|fatigue, quality of life and physical fitness following an exercise intervention in multiple myeloma survivors (mascot): an exploratory randomised phase 2 trial utilising a modified zelen design|British journal of cancer|2020-07-01|['Cancer']|['Adult', 'Elderly']|['cardiovascular fitness', 'fatigue', 'strength', 'muscle strength', 'physical fitness']|Exercise may improve fatigue in multiple myeloma survivors, but trial evidence is limited, and exercise may be perceived as risky in this older patient group with osteolytic bone destruction. In this Phase 2 Zelen trial, multiple myeloma survivors who had completed treatment at least 6 weeks ago, or were on maintenance only, were enrolled in a cohort study and randomly assigned to usual care or a 6-month exercise programme of tailored aerobic and resistance training. Outcome assessors and usual care participants were masked. The primary outcome was the FACIT-F fatigue score with higher scores denoting less fatigue. During 2014-2016, 131 participants were randomised 3:1 to intervention (n = 89) or usual care (n = 42) to allow for patients declining allocation to the exercise arm. There was no difference between groups in fatigue at 3 months (between-group mean difference: 1.6 [95% CI: -1.1-4.3]) or 6 months (0.3 [95% CI: -2.6-3.1]). Muscle strength improved at 3 months (8.4 kg [95% CI: 0.5-16.3]) and 6 months (10.8 kg [95% CI: 1.2-20.5]). Using per-protocol analysis, cardiovascular fitness improved at 3 months (+1.2 ml/kg/min [95% CI: 0.3-3.7]). In participants with clinical fatigue (n = 17), there was a trend towards less fatigue with exercise over 6 months (6.3 [95% CI: -0.6-13.3]). There were no serious adverse events. Exercise appeared safe and improved muscle strength and cardiovascular fitness, but benefits in fatigue appeared limited to participants with clinical fatigue at baseline. Future studies should focus on patients with clinical fatigue. The study was registered with ISRCTN (38480455) and is completed.|[{'npi': 'physical activity', 'out': 'cardiovascular fitness', 'dis': 'Cancer', 'eff': 3}, {'npi': 'physical activity', 'out': 'fatigue', 'dis': 'Cancer', 'eff': 2}, {'npi': 'physical activity', 'out': 'strength', 'dis': 'Cancer', 'eff': 3}, {'npi': 'physical activity', 'out': 'muscle strength', 'dis': 'Cancer', 'eff': 3}, {'npi': 'muscle stretching exercises', 'out': 'cardiovascular fitness', 'dis': 'Cancer', 'eff': 3}, {'npi': 'muscle stretching exercises', 'out': 'fatigue', 'dis': 'Cancer', 'eff': 2}, {'npi': 'muscle stretching exercises', 'out': 'strength', 'dis': 'Cancer', 'eff': 3}, {'npi': 'muscle stretching exercises', 'out': 'muscle strength', 'dis': 'Cancer', 'eff': 3}, {'npi': 'resistance training', 'out': 'cardiovascular fitness', 'dis': 'Cancer', 'eff': 3}, {'npi': 'resistance training', 'out': 'fatigue', 'dis': 'Cancer', 'eff': 2}, {'npi': 'resistance training', 'out': 'strength', 'dis': 'Cancer', 'eff': 3}, {'npi': 'resistance training', 'out': 'muscle strength', 'dis': 'Cancer', 'eff': 3}, {'npi': 'aerobic exercise', 'out': 'cardiovascular fitness', 'dis': 'Cancer', 'eff': 3}, {'npi': 'aerobic exercise', 'out': 'fatigue', 'dis': 'Cancer', 'eff': 2}, {'npi': 'aerobic exercise', 'out': 'strength', 'dis': 'Cancer', 'eff': 3}, {'npi': 'aerobic exercise', 'out': 'muscle strength', 'dis': 'Cancer', 'eff': 3}]
31860334|10.1139/apnm-2019-0602|aerobic exercise training-induced irisin secretion is associated with the reduction of arterial stiffness via nitric oxide production in adults with obesity|Applied physiology, nutrition, and metabolism = Physiologie appliquee, nutrition et metabolisme|2020-07-01|['Overweight']|['Animal']|['vascular stiffness', 'velocity', 'productivity']|This study aimed to clarify whether muscle-derived irisin secretion induced by aerobic exercise training is involved in reduction of arterial stiffness via arterial nitric oxide (NO) productivity in obesity. In animal study, 16 Otsuka Long-Evans Tokushima Fatty (OLETF) rats with obesity were randomly divided into 2 groups: sedentary control (OLETF-CON) and 8-week aerobic treadmill training (OLETF-EX) groups. In human study, 15 subjects with obesity completed 8-week aerobic exercise training for 45 min at 60%-70% peak oxygen uptake intensity for 3 days/week. As a result of animal study, carotid-femoral pulse wave velocity (cfPWV) was decreased, and arterial phosphorylation levels of AMP-activated protein kinase (AMPK), protein kinase B (Akt), and endothelial NO synthase (eNOS), circulating levels of nitrite/nitrate (NOx) and irisin, and muscle messenger RNA expression of fibronectin type III domain containing 5 ( Fndc5 ) were increased in the OLETF-EX group compared with OLETF-CON group. In a human study, regular aerobic exercise reduced cfPWV and elevated circulating levels of NOx and irisin. Furthermore, change in circulating irisin levels by regular exercise was positively correlated with circulating NOx levels and was negatively correlated with cfPWV. Thus, aerobic exercise training-induced increase in irisin secretion may be related to reduction of arterial stiffness achieved by NO production via activated arterial AMPK-Akt-eNOS signaling pathway in obesity. Novelty Aerobic exercise training promoted irisin secretion with upregulation of muscle Fndc5 gene expression in rats with obesity. Irisin affected the activation of arterial AMPK-Akt-eNOS signaling by aerobic exercise training. Increased serum irisin level by aerobic exercise training was associated with reduction of arterial stiffness in obese adults.|[{'npi': 'aerobic exercise', 'out': 'vascular stiffness', 'dis': 'Overweight', 'eff': 3}, {'npi': 'physical activity', 'out': 'vascular stiffness', 'dis': 'Overweight', 'eff': 3}]
32503004||effect of exercise training on insulin sensitivity, hyperinsulinemia and ectopic fat in black south african women: a randomized controlled trial|European journal of endocrinology|2020-07-01|['Overweight']|['Adult']|['insulin resistance', 'glucose tolerance', 'weight', 'visceral fat', 'fat mass']|We investigated the effects of a 12-week exercise intervention on insulin sensitivity (SI) and hyperinsulinemia and associated changes in regional and ectopic fat. Healthy, black South African women with obesity (mean age 23 ± 3.5 years) and of isiXhosa ancestry were randomised into a 12-week aerobic and resistance exercise training group (n = 23) and a no exercise group (control, n = 22). Pre and post-intervention testing included assessment of SI, insulin response to glucose (AIRg), insulin secretion rate (ISR), hepatic insulin extraction (FEL) and disposition index (DI) (AIRg × SI) (frequently sampled i.v. glucose tolerance test); fat mass and regional adiposity (dual-energy X-ray absorptiometry); hepatic, pancreatic and skeletal muscle fat content and abdominal s.c. and visceral adipose tissue volumes (MRI). Exercise training increased VO2peak (mean ± s.d.: 24.9 ± 2.42 to 27.6 ± 3.39 mL/kg/min, P < 0.001), SI (2.0 (1.2-2.8) to 2.2 (1.5-3.7) (mU/l)-1 min-1, P = 0.005) and DI (median (interquartile range): 6.1 (3.6-7.1) to 6.5 (5.6-9.2) × 103 arbitrary units, P = 0.028), and decreased gynoid fat mass (18.5 ± 1.7 to 18.2 ± 1.6%, P < 0.001) and body weight (84.1 ± 8.7 to 83.3 ± .9.7 kg, P = 0.038). None of these changes were observed in the control group, but body weight increased (P = 0.030). AIRg, ISR and FEL, VAT, SAT and ectopic fat were unaltered after exercise training. The increase in SI and DI were not associated with changes in regional or ectopic fat. Exercise training increased SI independent from changes in hyperinsulinemia and ectopic fat, suggesting that ectopic fat might not be a principal determinant of insulin resistance in this cohort.|[{'npi': 'physical activity', 'out': 'glucose tolerance', 'dis': 'Overweight', 'eff': 3}, {'npi': 'physical activity', 'out': 'weight', 'dis': 'Overweight', 'eff': 3}, {'npi': 'physical activity', 'out': 'fat mass', 'dis': 'Overweight', 'eff': 3}, {'npi': 'aerobic exercise', 'out': 'glucose tolerance', 'dis': 'Overweight', 'eff': 3}, {'npi': 'aerobic exercise', 'out': 'weight', 'dis': 'Overweight', 'eff': 3}, {'npi': 'aerobic exercise', 'out': 'fat mass', 'dis': 'Overweight', 'eff': 3}, {'npi': 'resistance training', 'out': 'glucose tolerance', 'dis': 'Overweight', 'eff': 3}, {'npi': 'resistance training', 'out': 'weight', 'dis': 'Overweight', 'eff': 3}, {'npi': 'resistance training', 'out': 'fat mass', 'dis': 'Overweight', 'eff': 3}]
32092502|10.1016/j.exger.2020.110884|osteosarcopenic obesity markers following elastic band resistance training: a randomized controlled trial|Experimental gerontology|2020-07-01|['Overweight']|['Elderly']|['body mass index', 'bone density', 'speed', 'strength', 'grip strength']|The main purpose of present study was to investigate the effects of elastic band resistance training (EBRT) on muscle quality (MQ), serum osteosarcopenic obesity (OSO) biomarkers, bone density and functional profile in women living with OSO syndrome. The eligible participants, aged 65 to 80 years, were selected by a physician. Accordingly, a total number of 63 women with OSO syndrome were recruited and assessed using a dual energy X-ray absorptiometry (DXA) instrument, body mass index (BMI) > 30 kg/m 2 , -2.5 ≤ T-score ≤ -1.0 of L1-L4, and/or total femur or femoral neck, and gait speed (10-meter walk test (10MWT)) ≤ 1 (m/s 2 ). The 12-week supervised EBRT was designed to train all major muscle groups for 3 times per week. In the first two sessions, the participants became familiar with targeted number of repetitions (TNRs) and OMNI-resistance exercise scale (OMNI-RES) to control exercise intensity. Following an adaptation phase of 4 weeks (1 set of 12 rep) using low resistance (yellow Thera-Band), exercise intensity progressively increased by adapting the resistance of the elastic band (based on the Thera-Band® force-elongation table) from yellow to red and further to black. The participants in the control group also received telephone contacts or face-to-face interviews on a weekly basis to maintain their typical diet and activity habits. A two-way repeated measures ANOVA was employed to determine the main changes (2 times×2 groups) after 12 weeks of training. Partial eta-squared (ηp 2 ) was additionally used to determine ES in ANOVA tests. At all the stages of data analysis in this RCT, intention-to-treat (ITT) analysis was performed. The results of two-way ANOVA showed significant elevations in E2 (F = 7.881, p = 0.006, ES = 0.079), MQ (F = 4.225, p = 0.043, ES = 0.044), OSO Z-score (F = 7.091, p = 0.030, ES = 0.069), 30-s chair stand test (F = 4.599, p = 0.036, ES = 0.063) and hand grip strength (F = 6.411, p = 0.013, ES = 0.065) in the experimental group compared with those in the controls. Besides, there were no significant differences in CAF (F = 0.456, p = 0.501, ES = 0.005), CTX-I (F = 3.427, p = 0.067, ES = 0.036), adiponectin (F = 2.733, p = 0.102, ES = 0.029), sTnT (F = 3.245, p = 0.075, ES = 0.034), sclerostin (F = 2.927, p = 0.091, ES = 0.034), gait speed (10MWT) (F = 1.524, p = 0.220, ES = 0.016), 6MWT (F = 1.169, p = 0.284, ES = 0.017) and TUG (F = 1.502, p = 0.225, ES = 0.022), BMI (F = 0.354, p = 0.553, ES = 0.004), BFP (F = 2.888, p = 0.093, ES = 0.030), body mass content (BMC) (F = 0.030, p = 0.862, ES = 0.001) and BMD (F = 0.335, p = 0.564, ES = 0.004) between study groups. Taken together, the results of this study illustrated significant differences only in some OSO markers between groups after 48 h of chronic EBRT in women affected with OSO syndrome. Further research is thus recommended to design machine-based and elastic band-based training regimes at different intensities and volumes.|[{'npi': 'diet', 'out': 'body mass index', 'dis': 'Overweight', 'eff': 1}]
31478436|10.1080/17461391.2019.1663270|high-intensity interval neuromuscular training promotes exercise behavioral regulation, adherence and weight loss in inactive obese women|European journal of sport science|2020-07-01|['Overweight']|['Undefined']|['weight', 'weight loss', 'stress', 'psychological distress', 'well-being', 'adherence']|It is unclear how high-intensity, interval-type nontraditional exercise training programmes can be feasible and effective options for inactive obese individuals. This randomized controlled trial investigated the hypothesis that a 10-month high-intensity, interval-type neuromuscular training programme (DoIT) with adjunct portable modalities, performed in a small-group setting, induces improvements in psychological well-being, subjective vitality and exercise behavioural regulations in obese women. Associations between adherence, psychological and physiological indicators were also investigated. Forty-nine previously inactive obese females (36.4 ± 4.4 yrs) were randomly assigned to three groups (control; N = 21, 10-month training; N = 14, or 5-month training plus 5 month-detraining; N = 14). DoIT was a supervised, progressive, and time-efficient (<30 min) programme that used 10-12 functional/neuromotor exercises and prescribed work and rest time intervals (20-40 sec) in a circuit fashion (1-3 rounds) for 10 months. Questionnaires were used to measure psychological distress, subjective vitality, and behavioural regulations in exercise at pre-, mid-, and post-intervention. The 10-month training reduced psychological distress (72%, p = 0.001), external regulation (75%, p = 0.011) and increased vitality (53%, p = 0.001), introjected regulation (63%, p = 0.001), intrinsic regulation (33%, p = 0.004), and identified regulation (88%, p = 0.001). A moderate to strong positive relationship was found between adherence rate and identified regulation scores ( r = 0.59, p = 0.001) and between VO 2 peak and identified regulation scores ( r = 0.59, p = 0.001). A mild dissociation between exercise intensity and perceived exertion was also observed. Our novel findings suggest that a 10-month implementation of a high-intensity interval neuromuscular training programme promotes positive psychological adaptations provoking exercise behavioural regulation and adherence while inducing weight loss in inactive obese women.|[{'npi': 'high-intensity interval training', 'out': 'weight', 'dis': 'Overweight', 'eff': 3}, {'npi': 'high-intensity interval training', 'out': 'weight loss', 'dis': 'Overweight', 'eff': 3}, {'npi': 'high-intensity interval training', 'out': 'psychological distress', 'dis': 'Overweight', 'eff': 3}, {'npi': 'high-intensity interval training', 'out': 'adherence', 'dis': 'Overweight', 'eff': 2}, {'npi': 'physical activity', 'out': 'weight', 'dis': 'Overweight', 'eff': 3}, {'npi': 'physical activity', 'out': 'weight loss', 'dis': 'Overweight', 'eff': 3}, {'npi': 'physical activity', 'out': 'psychological distress', 'dis': 'Overweight', 'eff': 3}, {'npi': 'physical activity', 'out': 'adherence', 'dis': 'Overweight', 'eff': 3}]
